Hand #1 | Phase: preflop | Action: raise | Expected value: 62.0 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 62.0 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 62.0 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 62.0 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: turn | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: turn | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: turn | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: river | Action: raise | Expected value: 56.44 | Time: 0.0002s
Hand #1 | Phase: river | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: river | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: river | Action: raise | Expected value: 56.44 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 73.67 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 52.0 | Time: 0.0002s
Hand #1 | Phase: turn | Action: raise | Expected value: 52.0 | Time: 0.0002s
Hand #1 | Phase: river | Action: raise | Expected value: 45.0 | Time: 0.0002s
Hand #1 | Phase: preflop | Action: raise | Expected value: 88.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 88.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 86.7 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 84.2 | Time: 0.0001s
Hand #1 | Phase: flop | Action: check | Expected value: 59.11 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 63.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 63.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 63.33 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 60.68 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 58.79 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 57.69 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 56.96 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 71.67 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 67.17 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 65.0 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 63.92 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 51.5 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 51.11 | Time: 0.0002s
Hand #1 | Phase: flop | Action: raise | Expected value: 50.82 | Time: 0.0002s
Hand #1 | Phase: flop | Action: raise | Expected value: 50.6 | Time: 0.0002s
Hand #1 | Phase: preflop | Action: raise | Expected value: 93.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 88.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 88.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 85.1 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 54.94 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 88.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 63.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 63.33 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 61.95 | Time: 0.0001s
Hand #1 | Phase: preflop | Action: raise | Expected value: 59.69 | Time: 0.0001s
Hand #1 | Phase: flop | Action: check | Expected value: 55.47 | Time: 0.0001s
Hand #1 | Phase: flop | Action: raise | Expected value: 64.44 | Time: 0.0001s
